iter	RMSE
0	24.89370048
1	24.31809815
2	23.76752755
3	23.44445087
4	23.14723239
5	22.63458533
6	22.43357799
7	22.26863112
8	21.9063974
9	21.53016021
10	21.37408842
11	21.059261
12	20.74343532
13	20.44876659
14	20.14294217
15	19.91954471
16	19.81282937
17	19.60140506
18	19.51193693
19	19.34001724
20	19.26395807
21	19.17097446
22	19.07292953
23	18.99345677
24	18.91332209
25	18.8382035
26	18.74149027
27	18.67712792
28	18.62318972
29	18.47009868
30	18.35021901
31	18.29072499
32	18.24227036
33	18.20524134
34	18.10213303
35	18.03261996
36	18.0002372
37	17.86361718
38	17.81272235
39	17.73616559
40	17.70581306
41	17.66343101
42	17.49925397
43	17.44706482
44	17.40989864
45	17.36457137
46	17.32437523
47	17.29138648
48	17.18087873
49	17.11208288
50	17.06480342
51	17.03150821
52	17.00492485
53	16.97616336
54	16.94405576
55	16.91938377
56	16.82310991
57	16.76655334
58	16.74002939
59	16.7015132
60	16.6673105
61	16.64102117
62	16.61888483
63	16.59709026
64	16.50327831
65	16.47911581
66	16.46315628
67	16.36615092
68	16.27763501
69	16.25339757
70	16.20352592
71	16.18264497
72	16.13850115
73	16.09897895
74	16.08084839
75	16.06068878
76	16.03436633
77	15.96840425
78	15.94891075
79	15.92446794
80	15.87770966
81	15.85981993
82	15.76343598
83	15.7412462
84	15.67114512
85	15.65124042
86	15.61013386
87	15.59430178
88	15.55222757
89	15.52940349
90	15.49858195
91	15.4803837
92	15.42279886
93	15.3903894
94	15.36503485
95	15.33003745
96	15.30471088
97	15.25365076
98	15.23500655
99	15.21736471
100	15.19077514
101	15.1453322
102	15.11666104
103	15.0951884
104	15.05580344
105	15.04368584
106	14.9653619
107	14.94181955
108	14.8947303
109	14.88031671
110	14.80167384
111	14.78228154
112	14.65536783
113	14.59319406
114	14.58263207
115	14.51879113
116	14.44126158
117	14.4301736
118	14.41572622
119	14.35260678
120	14.28924718
121	14.26658787
122	14.2175439
123	14.19027712
124	14.17303217
125	14.11629158
126	14.05472452
127	14.01154021
128	13.9957171
129	13.98322866
130	13.93337142
131	13.91362429
132	13.87415416
133	13.83553164
134	13.78033089
135	13.76646455
136	13.7545694
137	13.74014329
138	13.71016839
139	13.62832653
140	13.5889686
141	13.55019859
142	13.49777253
143	13.46550698
144	13.45664267
145	13.41236364
146	13.38795011
147	13.31028875
148	13.27989838
149	13.23425444
150	13.16097095
151	13.12094777
152	13.10862041
153	13.08966092
154	13.07079908
155	13.03495142
156	13.02150545
157	12.99189277
158	12.96240789
159	12.93764568
160	12.9267059
161	12.89090951
162	12.83302139
163	12.79848787
164	12.76921534
165	12.74190958
166	12.722879
167	12.66546213
168	12.63344618
169	12.60457397
170	12.58396416
171	12.55337995
172	12.49959033
173	12.47473851
174	12.44326124
175	12.40350741
176	12.37508274
177	12.34437343
178	12.32807053
179	12.30505816
180	12.27775315
181	12.25046865
182	12.19692308
183	12.17069367
184	12.12921887
185	12.11379672
