iter	Passed	Remaining
408	5755	8316
409	5781	8319
410	5793	8302
411	5805	8284
412	5819	8271
413	5832	8255
414	5847	8242
415	5861	8228
416	5873	8211
417	5885	8194
418	5897	8177
419	5908	8159
420	5920	8142
421	5932	8125
422	5944	8108
423	5955	8090
424	5968	8074
425	5982	8061
426	5994	8043
427	6005	8025
428	6016	8008
429	6028	7990
430	6040	7974
431	6051	7956
432	6063	7939
433	6074	7922
434	6086	7904
435	6097	7887
436	6109	7871
437	6120	7853
438	6131	7835
439	6143	7818
440	6155	7802
441	6166	7784
442	6178	7767
443	6189	7751
444	6204	7738
445	6215	7720
446	6227	7703
447	6238	7687
448	6249	7669
449	6261	7652
450	6272	7635
451	6283	7617
452	6295	7601
453	6307	7585
454	6319	7569
455	6329	7551
456	6341	7535
457	6353	7519
458	6366	7503
459	6377	7486
460	6389	7470
461	6400	7453
462	6411	7436
463	6424	7420
464	6435	7404
465	6446	7387
466	6458	7371
467	6470	7355
468	6482	7339
469	6493	7321
470	6504	7305
471	6516	7289
472	6527	7272
473	6539	7256
474	6551	7240
475	6562	7223
476	6572	7206
477	6584	7190
478	6598	7177
479	6611	7162
480	6622	7145
481	6634	7130
482	6647	7115
483	6658	7098
484	6670	7082
485	6685	7070
486	6701	7059
487	6716	7047
488	6729	7032
489	6748	7024
490	6767	7015
491	6790	7011
492	6807	7000
493	6822	6988
494	6920	7059
495	7020	7134
496	7052	7138
497	7064	7121
498	7077	7105
499	7088	7088
500	7100	7071
501	7112	7055
502	7123	7038
503	7134	7020
504	7146	7004
505	7158	6988
506	7169	6971
507	7181	6955
508	7193	6938
509	7205	6923
510	7216	6906
511	7228	6889
512	7240	6873
513	7251	6856
514	7263	6840
515	7275	6824
516	7287	6808
517	7298	6791
518	7310	6775
519	7323	6759
520	7334	6742
521	7345	6726
522	7358	6711
523	7372	6697
524	7383	6680
525	7396	6665
526	7408	6649
527	7423	6636
528	7437	6621
529	7448	6605
530	7462	6590
531	7474	6575
532	7487	6559
533	7498	6543
534	7510	6527
535	7522	6512
536	7535	6497
537	7547	6481
538	7559	6465
539	7571	6449
540	7584	6434
541	7595	6418
542	7607	6402
543	7620	6387
544	7633	6372
545	7644	6356
546	7657	6341
547	7671	6327
548	7683	6311
549	7695	6296
550	7708	6281
551	7721	6266
552	7733	6251
553	7745	6235
554	7757	6220
555	7770	6205
556	7787	6193
557	7812	6188
558	7829	6177
559	7852	6169
560	7868	6157
561	7880	6141
562	7892	6126
563	7903	6109
564	7915	6094
565	7926	6078
566	7941	6064
567	7953	6048
568	7965	6033
569	7977	6018
570	7990	6003
571	8003	5988
572	8015	5972
573	8027	5957
574	8040	5942
575	8053	5928
576	8065	5912
577	8077	5897
578	8089	5882
579	8100	5865
580	8112	5850
581	8125	5835
582	8137	5820
583	8148	5804
584	8162	5790
585	8175	5775
586	8188	5760
587	8200	5745
588	8212	5730
589	8224	5715
590	8236	5700
591	8291	5714
592	8340	5724
593	8391	5735
594	8528	5805
595	8609	5835
596	8652	5840
597	8669	5827
598	8684	5813
599	8700	5800
600	8715	5785
601	8731	5772
602	8746	5758
603	8766	5747
604	8782	5734
605	8805	5724
606	8821	5711
607	8838	5698
608	8855	5685
609	8871	5671
610	8887	5658
611	8904	5645
612	8929	5637
613	8947	5624
614	8963	5611
615	8980	5598
616	8998	5585
617	9016	5573
618	9034	5560
619	9052	5548
620	9069	5534
621	9086	5521
622	9103	5509
623	9121	5496
624	9138	5482
625	9152	5468
626	9168	5454
627	9181	5438
628	9193	5422
629	9204	5405
630	9215	5389
631	9228	5373
632	9240	5357
633	9251	5340
634	9263	5324
635	9275	5308
636	9286	5291
637	9298	5275
638	9310	5260
639	9322	5244
640	9333	5227
641	9349	5213
642	9364	5199
643	9379	5184
644	9396	5171
645	9410	5156
646	9422	5140
647	9433	5124
648	9447	5109
649	9461	5094
650	9473	5078
651	9483	5062
652	9496	5046
653	9507	5029
654	9519	5013
655	9530	4997
656	9542	4981
657	9553	4965
658	9564	4949
659	9579	4934
660	9592	4919
661	9604	4903
662	9615	4887
663	9625	4870
664	9637	4854
665	9649	4839
666	9660	4822
667	9672	4807
668	9684	4791
669	9694	4774
670	9707	4759
671	9718	4743
672	9731	4728
673	9741	4711
674	9754	4696
675	9765	4680
676	9776	4664
677	9789	4649
678	9808	4636
679	9824	4623
680	9842	4610
681	9855	4595
682	9867	4579
683	9879	4564
684	9889	4547
685	9902	4532
686	9916	4517
687	9928	4502
688	9940	4486
689	9956	4473
690	9972	4459
691	9990	4446
692	10005	4432
693	10143	4472
694	10200	4476
695	10229	4467
696	10239	4451
697	10251	4435
698	10265	4420
699	10276	4404
700	10287	4388
701	10299	4372
702	10310	4355
703	10321	4339
704	10332	4323
705	10345	4308
706	10357	4292
707	10368	4276
708	10380	4260
709	10392	4245
710	10404	4229
711	10415	4212
712	10426	4197
713	10438	4181
714	10449	4165
715	10461	4149
716	10472	4133
717	10483	4117
718	10496	4102
719	10508	4086
720	10524	4072
721	10535	4056
722	10546	4040
723	10558	4025
724	10570	4009
725	10581	3993
726	10594	3978
727	10605	3962
728	10616	3946
729	10627	3930
730	10639	3915
731	10650	3899
732	10661	3883
733	10672	3867
734	10685	3852
735	10697	3836
736	10708	3821
737	10719	3805
738	10731	3790
739	10746	3775
740	10819	3781
741	10849	3772
742	10864	3757
743	10875	3742
744	10890	3727
745	10903	3712
746	10915	3696
747	10926	3681
748	10941	3666
749	10953	3651
750	10965	3635
751	10975	3619
752	10987	3604
753	10999	3588
754	11010	3572
755	11021	3557
756	11033	3541
757	11044	3526
758	11056	3510
759	11067	3495
760	11079	3479
761	11090	3464
762	11102	3448
763	11114	3433
764	11126	3417
765	11137	3402
766	11149	3386
767	11161	3371
768	11173	3356
769	11185	3341
770	11196	3325
771	11207	3309
772	11218	3294
773	11230	3279
774	11242	3263
775	11252	3248
776	11264	3232
777	11275	3217
778	11286	3201
779	11297	3186
780	11309	3171
781	11320	3155
782	11332	3140
783	11344	3125
784	11357	3110
785	11368	3095
786	11382	3080
787	11394	3065
788	11406	3050
789	11417	3034
790	11428	3019
791	11441	3004
792	11451	2989
793	11464	2974
794	11476	2959
795	11487	2944
796	11498	2928
797	11513	2914
798	11529	2900
799	11545	2886
800	11560	2872
801	11576	2857
802	11754	2883
803	11785	2873
804	11798	2857
805	11810	2842
806	11822	2827
807	11837	2812
808	11850	2797
809	11862	2782
810	11875	2767
811	11889	2752
812	11902	2737
813	11912	2722
814	11924	2706
815	11936	2691
816	11946	2676
817	11958	2660
818	11971	2645
819	11983	2630
820	11994	2615
821	12006	2599
822	12018	2584
823	12029	2569
824	12041	2554
825	12052	2538
826	12065	2524
827	12076	2508
828	12087	2493
829	12099	2478
830	12111	2463
831	12123	2447
832	12134	2432
833	12147	2417
834	12157	2402
835	12170	2387
836	12181	2372
837	12191	2356
838	12203	2341
839	12214	2326
840	12225	2311
841	12237	2296
842	12252	2281
843	12264	2266
844	12275	2251
845	12285	2236
846	12297	2221
847	12308	2206
848	12319	2191
849	12332	2176
850	12344	2161
851	12355	2146
852	12367	2131
853	12379	2116
854	12391	2101
855	12401	2086
856	12413	2071
857	12425	2056
858	12436	2041
859	12448	2026
860	12460	2011
861	12471	1996
862	12482	1981
863	12493	1966
864	12505	1951
865	12515	1936
866	12527	1921
867	12539	1906
868	12551	1892
869	12563	1877
870	12574	1862
871	12586	1847
872	12597	1832
873	12609	1817
874	12621	1803
875	12631	1788
876	12647	1773
877	12659	1759
878	12671	1744
879	12682	1729
880	12693	1714
881	12706	1699
882	12718	1685
883	12729	1670
884	12741	1655
885	12753	1640
886	12764	1626
887	12775	1611
888	12790	1596
889	12805	1582
890	12820	1568
891	12835	1554
892	12850	1539
893	12950	1535
894	13067	1533
895	13078	1518
896	13091	1503
897	13103	1488
898	13117	1473
899	13129	1458
900	13140	1443
901	13152	1429
902	13164	1414
903	13176	1399
904	13187	1384
905	13199	1369
906	13210	1354
907	13221	1339
908	13233	1324
909	13244	1309
910	13255	1295
911	13267	1280
912	13278	1265
913	13289	1250
914	13302	1235
915	13314	1220
916	13325	1206
917	13336	1191
918	13349	1176
919	13362	1161
920	13373	1147
921	13385	1132
922	13397	1117
923	13409	1102
924	13420	1088
925	13432	1073
926	13446	1058
927	13458	1044
928	13470	1029
929	13481	1014
930	13494	1000
931	13504	985
932	13516	970
933	13528	955
934	13541	941
935	13552	926
936	13563	911
937	13577	897
938	13590	882
939	13602	868
940	13615	853
941	13627	839
